arm	template	surface	sha256	vertices	faces	hash_evidence
Sphere	v2c_icosphere_fixed_template	lh_pial_smoothed.ply	7366a007877024070327019473cb87b04ac496a42d95db315551dc5a498e283a	163842	327680	narval_inventory_22_resource_sha256
Sphere	v2c_icosphere_fixed_template	lh_white_smoothed.ply	11e0e500ef15a2a350dda0718285ea9fe6052ce760a2a6dbf12e44d67a6c7528	163842	327680	narval_inventory_22_resource_sha256
Sphere	v2c_icosphere_fixed_template	rh_pial_smoothed.ply	0271ecd291c5cd93306c0d9b64787597523f063ea71ee1d41691de4527e054fe	163842	327680	narval_inventory_22_resource_sha256
Sphere	v2c_icosphere_fixed_template	rh_white_smoothed.ply	d09d8ca8cfbda0ddb5900d30dd962649dbc522963d1ff1dc37a73ed3b8216da8	163842	327680	narval_inventory_22_resource_sha256
Random	v2c_oasis_random_unsmoothed_seed2025_fixed_template	lh_pial_smoothed.ply	3f3204316b6559ca693b9609bec28818ec7f46b6edbef90225b90f9cd84e1007	148530	297056	RANDOM_TEMPLATE_SHA256SUMS.txt
Random	v2c_oasis_random_unsmoothed_seed2025_fixed_template	lh_white_smoothed.ply	c08ccc75888be1bccf3a8efc0063fd95dca33df4cc29536c2f3b8262d10e5ff5	130744	261480	RANDOM_TEMPLATE_SHA256SUMS.txt
Random	v2c_oasis_random_unsmoothed_seed2025_fixed_template	rh_pial_smoothed.ply	0bd1c25a1bf963768ba4d268b741c36243c1fda244546ee820f9b9f042f5fbc8	150060	300116	RANDOM_TEMPLATE_SHA256SUMS.txt
Random	v2c_oasis_random_unsmoothed_seed2025_fixed_template	rh_white_smoothed.ply	44e48df1db864f29052f2b833acf91ebaf80658d6494217fcbe1239dcfa4bfe1	130950	261892	RANDOM_TEMPLATE_SHA256SUMS.txt
Original150k	v2c_sub298051_taubin150000_fixed_template	lh_pial_smoothed.ply	1fb36db16c0128d6e93a882d1f415f487c036fee3576bd9a029b0d8e7b8325df	167750	335496	narval_inventory_22_resource_sha256
Original150k	v2c_sub298051_taubin150000_fixed_template	lh_white_smoothed.ply	d70ac85fac23e5696462273d58b23964563f354c422a3fe8fcadb303f7edc934	149734	299460	narval_inventory_22_resource_sha256
Original150k	v2c_sub298051_taubin150000_fixed_template	rh_pial_smoothed.ply	dd426f861b161e589941c6b86dbac05f379e031d6a6f97b117f668baf7d97873	167930	335856	narval_inventory_22_resource_sha256
Original150k	v2c_sub298051_taubin150000_fixed_template	rh_white_smoothed.ply	21f4b1acc025b5f644b2a77d23d80b8ca21df706bd94a1e49868f9e5633ab32a	151644	303280	narval_inventory_22_resource_sha256
Curv0	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_fixed_template	lh_pial_smoothed.ply	955cec59f779db965ad1aeba7be23a6a9c32b516ee16504147216d57e56b6813	199630	399256	narval_inventory_22_resource_sha256
Curv0	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_fixed_template	lh_white_smoothed.ply	a664141ad307387684182a7b81c3ce2ca7b6c114870173eb557b3c456cee2762	173375	346746	narval_inventory_22_resource_sha256
Curv0	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_fixed_template	rh_pial_smoothed.ply	70c59bf8c157c7a84f04c610f6910100fe3e61572758e32485ecdf84996a2fb7	203053	406102	narval_inventory_22_resource_sha256
Curv0	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_fixed_template	rh_white_smoothed.ply	ea1048560c470f336c10716fa2e732f8e8f58f8ba6089202dde34b0b2c47a603	179104	358204	narval_inventory_22_resource_sha256
Curv1	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_curv1_fixed_template	lh_pial_smoothed.ply	8dc37863870af81b371a89bb6570cb79f2abb1c6582a87a7f3179e10d8e62a99	231042	462080	narval_inventory_22_resource_sha256
Curv1	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_curv1_fixed_template	lh_white_smoothed.ply	fa1850eaef905ae8b8256e31302c2a8a67b6b19166e8808be874bad4ff9b824f	213678	427352	narval_inventory_22_resource_sha256
Curv1	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_curv1_fixed_template	rh_pial_smoothed.ply	52134511b7b311274de0ce9b57f41e4b61e27d85e24b5bbc230f3aa7b1e0a001	236997	473990	narval_inventory_22_resource_sha256
Curv1	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_curv1_fixed_template	rh_white_smoothed.ply	7985ca8ef277f73bed7abf20d51365c052c2d889a192fbbd50ca2037de248385	218297	436590	narval_inventory_22_resource_sha256
