key	value
test_type	functional_real_mri_inference_smoke
official_upstream	https://github.com/Neuro-iX/SimCortex
official_upstream_baseline	6f3cb21af9763807190407e9725331b0f2e78bed
clean_repository	https://github.com/dk1028/SimCortex_V3
clean_commit	911f3105c117b2e5872e1c9a79abe79be2bd1728
dataset	HCP_YA
subject	sub-135932
session	ses-01
split	test
space	MNI152
historical_split_sha256	68f42ef3ed09373685de5d1dd144c7d3d72b7f8083850057dcccd5780756188d
mri_sha256	6e44da590a495235b9546c55bab770a451cdbf98f9fb870d3d443295f3fd24fb
mri_original_shape	182x218x182
model_inshape	184x224x184
use_probability_map	false
use_fixed_initial_surface	true
model_c_in	1
strict_load	true
n_steps	8
checkpoint_bytes	21311114
checkpoint_sha256	555f198379db1aa5f585aec586a939ffbf2680fbf3d86c06fb0979f6a701e8a1
lh_pial_template_sha256	7366a007877024070327019473cb87b04ac496a42d95db315551dc5a498e283a
lh_white_template_sha256	11e0e500ef15a2a350dda0718285ea9fe6052ce760a2a6dbf12e44d67a6c7528
rh_pial_template_sha256	0271ecd291c5cd93306c0d9b64787597523f063ea71ee1d41691de4527e054fe
rh_white_template_sha256	d09d8ca8cfbda0ddb5900d30dd962649dbc522963d1ff1dc37a73ed3b8216da8
slurm_job_id	2016129
slurm_job_name	sph_repro_smoke
slurm_state	COMPLETED
slurm_exit_code	0:0
slurm_elapsed	00:02:53
slurm_gpu	1xa100
output_surface_count	4
output_vertices_each	163842
output_faces_each	327680
four_output_surfaces_valid	true
lh_pial_output_sha256	7aa21f962d79f654fdd8eadc5b831283d50d1ad62f8a534252ead9035fb7f1ca
lh_white_output_sha256	265472f44f25c9b95b3a1e05d7e68c985bb3bd6624cc7ec5d4fc2af8404a580b
rh_pial_output_sha256	289c002d168a0cec7c30f4bad93953abd9a5bf187dc57abdcff6334c4b1bc82e
rh_white_output_sha256	742bf2be414ef00398a834cddf21ff04a83b0c070cf54760c73fb032a945118e
output_surface_manifest_sha256	d6b3837805881552efd119d31fa60cc4504a928bb6146bf8ecc1e86021796b73
scontrol_snapshot_sha256	e2ec363eaeda13fe50f84c13927ee6370b7a3c32b823522838848fb18c9a08ef
mesh_integrity_report_sha256	e7bd956c39819dcd07a372d88401e12f258cd4268ad25f092cac9afadd739244
smoke_artifact_manifest_file_count	18
smoke_artifact_manifest_sha256	f5a25c4d2b4b880dd7631556528592d35dd90531c1629c70f7aea738e06a4b4c
evidence_archive_sha256	a53d66e88c90bdf27304cde906e69db546d8ccaaab41979e141ad489aede96cb
historical_neuroix_inference_provenance	captured
clean_narval_real_mri_functional_reproduction	pass
historical_neuroix_sample40_exact_replay	not_performed
